Country,degree25,happy
Afghanistan,3.067980051,2.40
Albania,12.89966011,5.20
Armenia,24.20972061,5.40
Australia,35.0234108,7.16
Austria,15.36363029,7.16
Azerbaijan,15.72202969,5.17
Bahrain,23.33375931,6.65
Bangladesh,14.1016798,5.16
Belarus,28.30353928,5.82
Belgium,35.30400848,6.80
Bolivia,26.82304955,5.60
Bosnia and Herzegovina,10.59020996,5.77
Brazil,16.54339027,6.29
Bulgaria,26.05347061,5.37
Burkina Faso,2.146270037,4.67
Canada,25.75444031,7.03
Chile,14.64373016,6.17
Colombia,12.84636021,5.78
"Congo, Dem. Rep.",3.477180004,5.08
Costa Rica,21.60569,6.58
Cyprus,29.79525948,6.22
Czechia,20.91090012,6.92
Denmark,33.09049988,7.64
Dominican Republic,18.12311935,5.74
Ecuador,11.94242001,5.53
"Egypt, Arab Rep.",6.167900085,4.29
El Salvador,8.431300163,6.12
Estonia,30.84650993,6.34
Finland,25.93508911,7.82
France,19.70054054,6.69
"Gambia, The",2.047800064,5.16
Georgia,33.66769028,4.97
Germany,25.14987946,7.03
Greece,26.04353905,5.95
Guatemala,4.322020054,6.26
Guinea,6.207419872,4.89
Honduras,9.634989738,6.02
Hungary,24.08249092,6.09
Iceland,36.61830902,7.56
Indonesia,10.51708031,5.24
"Iran, Islamic Rep.",18.17661095,4.89
Ireland,31.16192055,7.04
Israel,33.20592117,7.36
Italy,16.54598045,6.47
Kazakhstan,34.08110046,6.23
Kuwait,11.11633015,6.11
Latvia,30.93531036,6.18
Lithuania,38.1034584,6.45
Madagascar,2.755000114,4.34
Malaysia,12.38611031,5.71
Mali,1.559839964,4.48
Malta,21.84100914,6.45
Mauritania,2.544359922,4.15
Mexico,17.12846947,6.13
Moldova,20.05253983,5.86
Mongolia,32.60437012,5.76
Mozambique,1.827520013,5.05
Myanmar,9.346529961,4.39
Netherlands,34.77362823,7.41
New Zealand,32.28327179,7.20
Niger,1.023360014,5.00
North Macedonia,21.67569923,5.20
Norway,29.28993034,7.37
Panama,19.62981987,6.31
Paraguay,14.18513012,5.58
Philippines,24.41179085,5.90
Poland,28.01268005,6.12
Portugal,22.50769997,6.02
Romania,13.01408005,6.48
Rwanda,4.132830143,3.27
Saudi Arabia,31.05150032,6.52
Senegal,2.761709929,5.05
Serbia,15.51527023,6.18
Singapore,32.9779892,6.48
Slovak Republic,22.85791969,6.39
Slovenia,21.50909996,6.63
South Africa,8.017760277,5.19
Spain,23.57801056,6.48
Sweden,25.07958984,7.38
Tajikistan,12.0083704,5.38
Thailand,15.62792969,5.89
Uganda,1.698850036,4.60
United Arab Emirates,46.63145828,6.58
United Kingdom,37.27647018,6.94
United States,37.52428818,6.98
Uruguay,11.84127998,6.47
Uzbekistan,16.4321003,6.06
"Venezuela, RB",25.14616966,4.93
Zimbabwe,3.251410007,3.00