IMF Credit Outstanding  for all members from 1984 - 2022,,,,
(in SDRs),,,,
,,,,
Date,GRA Purchases,PRGT 1/2/,Totals,Year
08/31/2022,"93,769,635,059.00 ","15,254,184,552.00 ","109,023,819,611.00 ",2022
12/31/2021,"89,474,552,025.00 ","14,554,823,681.00 ","104,029,375,706.00 ",2021
12/31/2020,"93,408,630,285.00 ","12,481,816,684.00 ","105,890,446,969.00 ",2020
12/31/2019,"66,945,509,865.00 ","6,590,835,450.00 ","73,536,345,315.00 ",2019
12/31/2018,"55,395,611,392.00 ","6,426,181,029.00 ","61,821,792,421.00 ",2018
12/31/2017,"39,585,385,873.00 ","6,522,280,669.00 ","46,107,666,542.00 ",2017
12/31/2016,"49,267,630,851.00 ","6,482,647,937.00 ","55,750,278,788.00 ",2016
12/31/2015,"50,757,840,741.00 ","6,575,911,158.00 ","57,333,751,899.00 ",2015
12/31/2014,"69,041,563,463.00 ","6,292,755,583.00 ","75,334,319,046.00 ",2014
12/31/2013,"83,899,249,061.00 ","6,174,392,682.00 ","90,073,641,743.00 ",2013
12/31/2012,"90,042,348,252.00 ","5,766,292,503.00 ","95,808,640,755.00 ",2012
12/31/2011,"87,276,915,790.00 ","5,308,609,594.00 ","92,585,525,384.00 ",2011
12/31/2010,"55,620,104,510.00 ","4,819,344,134.00 ","60,439,448,644.00 ",2010
12/31/2009,"37,221,142,436.00 ","5,079,705,286.00 ","42,300,847,722.00 ",2009
12/31/2008,"17,514,964,723.00 ","3,972,372,030.00 ","21,487,336,753.00 ",2008
12/31/2007,"6,036,146,757.00 ","3,796,945,581.00 ","9,833,092,338.00 ",2007
12/31/2006,"9,822,640,239.00 ","3,844,020,520.00 ","13,666,660,759.00 ",2006
12/31/2005,"28,432,143,237.00 ","6,282,121,668.00 ","34,714,264,905.00 ",2005
12/31/2004,"55,373,766,674.00 ","6,766,029,353.00 ","62,139,796,027.00 ",2004
12/31/2003,"65,032,062,712.00 ","6,880,893,268.00 ","71,912,955,980.00 ",2003
12/31/2002,"63,601,058,794.00 ","6,868,671,012.00 ","70,469,729,806.00 ",2002
12/31/2001,"53,477,225,409.00 ","6,424,578,684.00 ","59,901,804,093.00 ",2001
12/31/2000,"42,990,531,049.00 ","6,331,595,468.00 ","49,322,126,517.00 ",2000
12/31/1999,"51,061,861,875.00 ","6,434,274,362.00 ","57,496,136,237.00 ",1999
12/31/1998,"60,451,017,051.00 ","6,288,825,925.00 ","66,739,842,976.00 ",1998
12/31/1997,"46,559,033,783.00 ","6,009,867,422.00 ","52,568,901,205.00 ",1997
12/31/1996,"36,127,472,805.00 ","5,881,609,752.00 ","42,009,082,557.00 ",1996
12/31/1995,"35,929,173,412.00 ","5,657,438,528.00 ","41,586,611,940.00 ",1995
12/31/1994,"25,611,676,952.00 ","4,599,768,498.00 ","30,211,445,450.00 ",1994
12/31/1993,"25,196,745,031.00 ","3,942,792,899.00 ","29,139,537,930.00 ",1993
12/31/1992,"23,967,172,718.00 ","3,804,463,796.00 ","27,771,636,514.00 ",1992
12/31/1991,"23,378,573,926.00 ","3,285,717,796.00 ","26,664,291,722.00 ",1991
12/31/1990,"20,731,851,093.00 ","2,571,911,617.00 ","23,303,762,710.00 ",1990
12/31/1989,"22,315,104,224.00 ","2,334,886,562.00 ","24,649,990,786.00 ",1989
12/31/1988,"24,750,004,884.00 ","1,773,964,293.00 ","26,523,969,177.00 ",1988
12/31/1987,"28,751,979,125.00 ","1,866,342,930.00 ","30,618,322,055.00 ",1987
12/31/1986,"33,334,905,644.00 ","2,013,169,931.00 ","35,348,075,575.00 ",1986
12/31/1985,"35,194,787,249.00 ","2,470,247,948.00 ","37,665,035,197.00 ",1985
12/31/1984,"34,936,772,393.00 ","2,769,874,900.00 ","37,706,647,293.00 ",1984
,,,,
,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,
,,,,
 2/ Formerly PRGF-ESF.,,,,