country,pop2022
Nigeria,218541212
Ethiopia,123379924
Egypt,110990103
Dem. Rep. Congo,99010212
Tanzania,65497748
South Africa,59893885
Kenya,54027487
Uganda,47249585
Sudan,46874204
Algeria,44903225
Morocco,37457971
Angola,35588987
Ghana,33475870
Mozambique,32969518
Madagascar,29611714
Cameroon,27914536
Niger,26207977
Burkina Faso,22673762
Mali,22593590
Malawi,20405317
Zambia,20017675
Chad,17723315
Somalia,17597511
Senegal,17316449
Zimbabwe,16320537
Guinea,13859341
Rwanda,13776698
Benin,13352864
Burundi,12889576
Tunisia,12356117
S. Sudan,10913164
Togo,8848699
Sierra Leone,8605718
Libya,6812341
Republic of the Congo,5970424
Central African Rep.,5579144
Liberia,5302681
Mauritania,4736139
Eritrea,3684032
Gambia,2705992
Botswana,2630296
Namibia,2567012
Gabon,2388992
Lesotho,2305825
Guinea-Bissau,2105566
Eq. Guinea,1674908
Mauritius,1299469
eSwatini,1201670
Djibouti,1120849
Comoros,836774
Cape Verde,593149
Sao Tome and Principe,227380
Seychelles,107118
W. Sahara,632086
Congo,5840551
C™te d'Ivoire,27934464