state,price
West Virginia,123200
Mississippi,125500
Arkansas,133600
Oklahoma,142400
Kentucky,147100
Indiana,148900
Alabama,149600
Ohio,151400
Iowa,153900
Kansas,157600
Michigan,162600
Missouri,163600
Nebraska,164000
Louisiana,168100
South Carolina,170100
South Dakota,174600
New Mexico,175700
Tennessee,177600
North Carolina,182100
Texas,187200
Pennsylvania,187500
Wisconsin,189200
Georgia,190200
Maine,198000
North Dakota,199900
Illinois,202100
Wyoming,228000
Vermont,230900
Florida,232000
Idaho,235600
Minnesota,235700
Arizona,242000
Montana,244900
Delaware,258300
New Hampshire,272300
Alaska,275600
Rhode Island,276600
Connecticut,279700
Virginia,282800
Nevada,290200
Utah,305400
New York,325000
Maryland,325400
Oregon,336700
New Jersey,343500
Washington,366800
Colorado,369900
Massachusetts,398800
California,538500
Hawaii,636400