year,pop,emit
1990,418.70,8.27
1991,421.29,8.17
1992,422.58,7.87
1993,423.85,7.71
1994,424.75,7.66
1995,425.49,7.76
1996,426.18,7.99
1997,426.76,7.81
1998,427.26,7.78
1999,427.89,7.63
2000,428.85,7.63
2001,429.35,7.76
2002,430.37,7.73
2003,432.01,7.90
2004,433.61,7.88
2005,435.28,7.81
2006,436.69,7.80
2007,438.28,7.66
2008,439.81,7.48
2009,440.92,6.93
2010,442.07,7.12
2011,441.25,6.89
2012,441.93,6.76
2013,442.39,6.59
2014,443.18,6.25
2015,444.06,6.36
2016,444.99,6.37
2017,445.64,6.41
2018,446.41,6.25
2019,447.34,5.93
2020,447.72,5.34
2021,447.15,6.15