state,units
.Alabama,"2,313,642"
.Alaska,"327,890"
.Arizona,"3,138,871"
.Arkansas,"1,380,728"
.California,"14,512,281"
.Colorado,"2,540,822"
.Connecticut,"1,536,344"
.Delaware,"457,954"
.District of Columbia,"357,489"
.Florida,"10,054,457"
.Georgia,"4,475,274"
.Hawaii,"564,908"
.Idaho,"775,267"
.Illinois,"5,440,401"
.Indiana,"2,950,185"
.Iowa,"1,426,108"
.Kansas,"1,284,344"
.Kentucky,"2,008,239"
.Louisiana,"2,093,393"
.Maine,"745,334"
.Maryland,"2,546,344"
.Massachusetts,"3,017,901"
.Michigan,"4,590,528"
.Minnesota,"2,517,248"
.Mississippi,"1,332,050"
.Missouri,"2,807,604"
.Montana,"521,892"
.Nebraska,"854,328"
.Nevada,"1,305,509"
.New Hampshire,"643,981"
.New Jersey,"3,780,004"
.New Mexico,"948,110"
.New York,"8,531,063"
.North Carolina,"4,801,712"
.North Dakota,"374,447"
.Ohio,"5,269,638"
.Oklahoma,"1,762,129"
.Oregon,"1,837,079"
.Pennsylvania,"5,770,601"
.Rhode Island,"484,902"
.South Carolina,"2,395,943"
.South Dakota,"400,780"
.Tennessee,"3,087,963"
.Texas,"11,869,072"
.Utah,"1,190,107"
.Vermont,"336,779"
.Virginia,"3,652,388"
.Washington,"3,257,185"
.West Virginia,"858,481"
.Wisconsin,"2,748,940"
.Wyoming,"274,371"
,
,
,
,
,